id_deputado,nome_deputado,aniversario,sigla_partido,situacao,email,sala,placa_veiculo,home_page,andar,matricula,id_spl
549,ADALBERTO FREITAS,11-01,PSL,EXE,adalbertofreitas@al.sp.gov.br,3009 a 3012,AL 052 - BPY 1432,,3º andar,300605,1000000330
548,ADRIANA BORGO,07-09,PROS,EXE,adrianaborgo@al.sp.gov.br,T 111,AL 070 - EDB 2851,,Térreo,300606,1000000332
36,AFONSO LOBATO,02-28,PV,EXE,padreafonso@al.sp.gov.br,,,,,300404,442
547,AGENTE FEDERAL DANILO BALAS,08-26,PSL,EXE,apfdanilobalas@al.sp.gov.br,2108,AL 146 - FSP 2502,,2º andar,300607,1000000335
546,ALEX DE MADUREIRA,09-17,PSD,EXE,alexdemadureira@al.sp.gov.br,1101,AL 133 - EXR 3175,,1º,300608,1000000342
261,ALEXANDRE PEREIRA,07-02,SD,EXE,alexandrepereira@al.sp.gov.br,"4005 , 4006 e   4007",AL 046 - GJP 1308,,4º,300553,13076
545,ALTAIR MORAES,09-25,REPUBLICANOS,EXE,altairmoraes@al.sp.gov.br,T-103,AL 094 - BME 7920,,Térreo,300609,1000000351
6,ANALICE FERNANDES,04-09,PSDB,EXE,afernandes@al.sp.gov.br,2101,AL 057 - EZJ 7289,,2º,300431,434
58,ANDRE DO PRADO,06-07,PL,EXE,andredoprado@al.sp.gov.br ,3112,AL 037 - FPS 2201,,3º,300497,12381
543,ARTHUR DO VAL,08-21,PATRI,EXE,ass.arthurdoval@gmail.com,3106 ,,,3º,300611,1000000359
542,ATAIDE TERUEL,06-19,PODE,EXE,ataide.teruel@al.sp.gov.br,T-117,,,Térreo,300612,1000000363
158,BARROS MUNHOZ,10-26,PSB,EXE,barrosmunhoz@yahoo.com.br,2026/2027,AL 096 - DMP 1709,,2º,300188,268
541,BRUNO GANEM,09-15,PODE,EXE,contato@brunoganem.com.br,1111,AL 011 - GHD 4505,,1º,300613,1000000366
267,CAIO FRANCA,08-01,PSB,EXE,caiofranca@al.sp.gov.br,1028 a 1031,,,1º,300540,13080
173,CAMPOS MACHADO,10-31,AVANTE,EXE,cmachado@al.sp.gov.br,T.107,,,Térreo,300217,94
