data_fim_comissao,id_comissao,nome_comissao,sigla_comissao
2008-06-26T00:00:00-03:00,11072,CPI da Guerra Fiscal,CPIGF
2008-06-25T00:00:00-03:00,11073,CPI da Queima da Palha da Cana-de-açúcar,CPIQPCA
2009-04-15T00:00:00-03:00,11199,CPI da Santa Casa,CPISC
,12769,Comissão Especial de Reforma da Lei Orgânica dos Municípios,CERLOM
,12770,Comissão do Serviço Público Civil,CSPC
2010-02-03T00:00:00-02:00,12216,CPI do Erro Médico,CPIEM
2010-10-25T00:00:00-02:00,12221,CPI BANCOOP,CPIBANCOOP
2010-10-06T00:00:00-03:00,12222,CPI IPVA,CPIIPVA
2010-10-25T00:00:00-02:00,12223,CPI Pedofilia,CPIPEDOF
,12444,"Comissão de Constituição, Justiça e Redação",CCJR
,12445,"Comissão de Finanças, Orçamento e Planejamento",CFOP
,12446,Comissão de Saúde,CS
,12447,Comissão de Educação e Cultura,CEC
,12448,Comissão de Assuntos Desportivos,CAD
,12449,Comissão de Assuntos Metropolitanos e Municipais,CAMM
,12450,Comissão de Infraestrutura,CI
,12451,Comissão de Segurança Pública e Assuntos Penitenciários,CSPAP
,12452,Comissão de Administração Pública e Relações do Trabalho,CAPRT
,12453,Comissão de Meio Ambiente e Desenvolvimento Sustentável,CMADS
,12454,Comissão de Atividades Econômicas,CAE
,12455,"Comissão de Defesa dos Direitos da Pessoa Humana, da Cidadania, da Participação e das Questões Sociais",CDD
,12456,"Comissão de Ciência, Tecnologia, Inovação e Informação",CCTI
,12898,CPI do Desaparecimento de Pessoas,
2015-03-14T00:00:00-03:00,13014,CPI Fundação para o Desenvolvimento da Educação - FDE,CPIFDE
2016-09-27T00:00:00-03:00,13327,CPI Epidemia do Crack,CPI-Crack
2009-11-05T00:00:00-02:00,12160,CPI da CDHU,CPICDHU
2010-02-09T00:00:00-02:00,12230,CPI Cursos de Medicina,CPIMED
2016-05-18T00:00:00-03:00,13297,CPI Invasão de Terrenos,CPI-InvTer
2016-12-13T00:00:00-02:00,13355,CPI Merenda,CPI-Merend
,99983,COMISSÕES - REUNIÕES CONJUNTAS,CRC
2016-09-13T00:00:00-03:00,13296,CPI Obesidade Infantil,CPI-ObInf
2016-09-17T00:00:00-03:00,13325,CPI Sistema Financeiro,CPI-SisFin
2015-03-10T00:00:00-03:00,13033,CPI Violações dos Direitos Humanos nas Faculdades Paulistas,CPIUSP
2015-09-27T00:00:00-03:00,13146,CPI Trabalho Infantil,CPITINF
2011-03-15T00:00:00-03:00,10037,Comissão de Legislação Participativa,CLP
